Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Icono (JPG o PNG),Foto (Si aplica)**,Descripción
Castelar Norte 120,3,"-33.49248162553039, -70.62273931699664",Operativo Veterinario en Castelar Norte,Medioambiente,00103 OPERATIVO VETERINARIO.png,,"OPERATIVOS VETERINARIOS 2024 (29 operativos, 611 atenciones) Castelar Norte 120"
Frente a Rio Loa 82,3,"-33.49250736739899, -70.61838688157134",Operativo Veterinario en Río Loa,Medioambiente,00103 OPERATIVO VETERINARIO.png,,"OPERATIVOS VETERINARIOS 2024 (29 operativos, 611 atenciones) Frente a Rio Loa 82"
Plaza Salomón Sumar,3,"-33.48586057606757, -70.62844812899803",Operativo Veterinario en Plaza Salomón Sumar,Medioambiente,00103 OPERATIVO VETERINARIO.png,,"OPERATIVOS VETERINARIOS 2024 (29 operativos, 611 atenciones) Plaza Sumar 4 interior;"
Reverendo Javier Peró 4393,3,"-33.498125243595354, -70.6238731439824",Operativo Veterinario en Rev. Javier Peró,Medioambiente,00103 OPERATIVO VETERINARIO.png,,"OPERATIVOS VETERINARIOS 2024 (29 operativos, 611 atenciones) Reverendo, Javier Peró 4393;"
Rio Rapel con Av. Central,3,"-33.49195023982408, -70.62390190350366",Operativo Veterinario en Río Rapel,Medioambiente,00103 OPERATIVO VETERINARIO.png,,"OPERATIVOS VETERINARIOS 2024 (29 operativos, 611 atenciones) Rio Rapel con Av. Central;"
Castelar Norte con Av. Central,3,"-33.49229958970561, -70.6238912985012",Operativo Veterinario en Castelar Norte,Medioambiente,00103 OPERATIVO VETERINARIO.png,,"OPERATIVOS VETERINARIOS 2024 (29 operativos, 611 atenciones) Castelar Norte con Av. Central; "
José Ingenieros 3250,3,"-33.48642931701186, -70.6243792035039",Operativo Veterinario en José Ingenieros,Medioambiente,00103 OPERATIVO VETERINARIO.png,,"OPERATIVOS VETERINARIOS 2024 (29 operativos, 611 atenciones) Francisca de Rimini - C. Valdovinos;"
Alcalde Pedro Alarcón 164,3,"-33.49038537360026, -70.62232307466813",Operativo Veterinario en Alcalde Pedro Alarcón,Medioambiente,00103 OPERATIVO VETERINARIO.png,,"OPERATIVOS VETERINARIOS 2024 (29 operativos, 611 atenciones) Plaza Sumar 4 (interior);"
"CESFAM San Joaquín, Francisca de Rimini 3223",3,"-33.48663955707168, -70.62362343336665",CESFAM San Joaquín,Salud,00131_CENTRO_SALUD.png,,"Atenciones de Salud, CESFAM San Joaquín, Francisca de Rimini 3223"
"SAPU SAN JOAQUIN, C. Arquitecto Arturo Bianchi 176",3,"-33.48698629740912, -70.62397086094187",SAPU San Joaquín,Salud,00131_CENTRO_SALUD.png,,SAPU San Joaquín
CASTELAR NORTE 120,3,"-33.49249952033069, -70.6227607748488",Baile entretenido,Deporte,04 BAILE ENTRETENIDO.png,,Actividad deportiva: BAILE ENTRETENIDO - SEDE JJVV EL PINAR (CASTELAR NORTE 120)
Comercio 200,3,"-33.49379688651214, -70.62561343251866",Boxeo,Deporte,00133_BOXEO.png,,Actividad deportiva: BOXEO - SEDE CLUB DEPORTIVO DEFENSOR BERNA (COMERCIO Nº 200)
Rieter a la alturs del 3458,3,"-33.489659623625286, -70.62903293047577",Boxeo adolescentes,Deporte,09 BOXEO NINOS.png,,Actividad deportiva: BOXEO ADOLESCENTE - SUMAR 3 (AREAS VERDES CON PJE RIETER
Comercio 200,3,"-33.49378793924653, -70.62563489018848",Boxeo infantil,Deporte,09 BOXEO NINOS.png,,Actividad deportiva: BOXEO NIÑEZ - SEDE CLUB DEPORTIVO DEFENSOR BERNA (COMERCIO N.º 200)
VICTOR GANDARILLAS 161,3,"-33.487853315967754, -70.6228717748491",Fútbol,Deporte,05 FUTBOL.png,,"Actividad deportiva: FUTBOLITO NIÑEZ - MULTICANCHA CD JULIO JUÁREZ, VICTOR GANDARILLAS 161"
CASTELAR SUR 148,3,"-33.49316852694969, -70.62339073251864",Skate,Deporte,0030 SKATE.png,,Actividad deportiva: SKATE - SKATE PARK PLAZA EL PINAR (CASTELAR SUR 148)
ALCALDE PEDRO ALARCÓN 164-A,3,"-33.49035208312864, -70.62231847484908",Zumba,Deporte,02 ZUMBA.png,,Actividad deportiva: ZUMBA - SEDE JJVV GERMAN RIESCO (ALCALDE PEDRO ALARCON 164-A)
CASTELAR NORTE con RIO VALDIVIA,3,"-33.49225667247172, -70.62612633251874",Zumba,Deporte,02 ZUMBA.png,,"Actividad deportiva: ZUMBA - MULTICANCHA NORTON CONTRERAS CASTELAR NORTE, ESQUINA RIO VALDIVIA"
Arquitecto Brunelleshi 3405,3,"-33.487996777626044, -70.62265635329767",Mejoramiento explanada recreativa club Julio Juárez,Deporte,00134_CANCHAS_REPARACION.png,,"Proyectos de Mejoramiento de infraestructura deportiva: Aprobados técnicamente sin financiamiento - Mejoramiento explanada recreativa club Julio Juárez, comuna de San Joaquín"
