Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Icono (JPG o PNG),Foto (Si aplica)**,Descripción
Av. Isabel Riquelme con Las Flores,1,"-33.48421321628938, -70.62511580653279",Atencion de Emergencía DRGD,Seguridad,0072 P. AREAS VERDES EJECUTADOS.png,,Caída de arboles y caída de ramas
Av. Vicuña Mackenna con Mozart,1,"-33.48027944587378, -70.62174435374372",Atencion de Emergencía DRGD,Seguridad,0072 P. AREAS VERDES EJECUTADOS.png,,Caída de arboles y caída de ramas
Av. Vicuña Mackenna con Tchaikovski,1,"-33.4765612164186, -70.62278006195329",Atencion de Emergencía DRGD,Seguridad,0072 P. AREAS VERDES EJECUTADOS.png,,Caída de arboles y caída de ramas
Diagonal Santa Elena con Cascanueces,1,"-33.477228308656784, -70.6235915309163",Atencion de Emergencía DRGD,Seguridad,0072 P. AREAS VERDES EJECUTADOS.png,,Caída de arboles y caída de ramas
Santa Elena (Plaza Valdivieso llegando a Pintor Cicarelli),1,"-33.47477806770958, -70.62563565347952",Atencion de Emergencía DRGD,Seguridad,0072 P. AREAS VERDES EJECUTADOS.png,,Caída de arboles y caída de ramas
Diagonal Santa Elena (Cercano a Palestrina),1,"-33.47548639346771, -70.62623954465269",Atencion de Emergencía DRGD,Seguridad,0072 P. AREAS VERDES EJECUTADOS.png,,Caída de arboles y caída de ramas
Diagonal Santa Elena (Cercano a Debussy),1,"-33.477429996650024, -70.6280842606566",Atencion de Emergencía DRGD,Seguridad,0072 P. AREAS VERDES EJECUTADOS.png,,Caída de arboles y caída de ramas
Entre Diagonal Santa Elena con Pintor Cicarelli (en dirección a vicuña mackenna),1,"-33.475835385349185, -70.6273067341824",Atencion de Emergencía DRGD,Seguridad,0072 P. AREAS VERDES EJECUTADOS.png,,Caída de arboles y caída de ramas
Pasaje Guayacan ,1,"-33.477598467288644, -70.63760014406881",Atencion de Emergencía DRGD,Seguridad,00137_OPERATIVO_DE_EMERGENCIA_DGRD.png,,Empresa encargada realiza corte para restablecer el servicio
Diagonal Santa Elena a la altura de Palestrina ,1,"-33.47561540695763, -70.62663254848444",Atencion de Emergencía DRGD,Seguridad,00137_OPERATIVO_DE_EMERGENCIA_DGRD.png,,Empresa encargada realiza corte para restablecer el servicio
Enrique Soro (Falta número de dirección),1,"-33.48268516476262, -70.62744659441114",Atencion de Emergencía DRGD,Seguridad,00138_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,"Creación de mesa territorial T1; realizada por Dirección de Gestión de Riesgo de desastres (DGRD), Sede Social Pobl. I. Riquelme"
Sierra Bella 2815 ,1,"-33.48274418587143, -70.63251119399814",Actividades Comunitarias DGRD,Seguridad,00138_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,"1ra Feria comunal de Gestion del Riesgo de Desastres-San Joaquín, Sierra Bella 2815"
Sierra Bella 2815 ,1,"-33.48274418587143, -70.63251119399814",Actividades Comunitarias DGRD,Seguridad,00138_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,"Capacitación Prevención de Riesgos-San Joaquín, Sierra Bella 2815"
Sierra Bella 2815 ,1,"-33.48274418587143, -70.63251119399814",Actividades Comunitarias DGRD,Seguridad,00138_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,Charla Reducción de Riesgos Eléctricos para la comunidad ; Sierra Bella 2815
Sierra Bella 2888,1,"-33.483165073374245, -70.63166741981955",Actividades Comunitarias DGRD,Seguridad,00138_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,Capacitación de reducción de Riesgo y material de emergencia ; Sierra Bella 2888
Santa Rosa con Rivas,1,"-33.47934801551254, -70.6410810861411",Actividades Comunitarias DGRD,Seguridad,00138_ACTIVIDADES_DE_EMERGENCIA_DGRD.png,,Charla de prevencion y manejo de extintor 
Borodín frente al 2895,1,"-33.47982373790123, -70.62869681928773",Lomos de Toro Asfalto Ejecucion 2024,Desarrollo Urbano,0077 LOMO DE TORO.png,,Lomos de toro asfalto ejecución 2024
Borodin frente al 2776,1,"-33.478780825596594, -70.62897090309518",Lomos de Toro Asfalto Ejecucion 2024,Desarrollo Urbano,0077 LOMO DE TORO.png,,Lomos de toro asfalto ejecución 2024
Chopin frente al 2843,1,"-33.477889129204854, -70.62359754588438",Lomos de Toro Asfalto Ejecucion 2024,Desarrollo Urbano,0077 LOMO DE TORO.png,,Lomos de toro asfalto ejecución 2024
Santa Elena (Cercano a Celia Solar),1,"-33.47232647648765, -70.62648136174292",Mitigaciones Asociadas a Construcción de Edificios A Ejecutarce 2025,Desarrollo Urbano,0078 SEMAFORO.png,,Señal led lumínica de reversibilidad en Santa Elena
Sierra Bella 2816,1,"-33.482824526061904, -70.63156976345206",Intervenciones Comunitarias y Participacion de la Comunidad,Medioambiente,0070_INTERVENCIONES_COMUNITARIAS,,Escuela Agroecológica en tu Barrio
Sierra Bella 2816,1,"-33.482824526061904, -70.63156976345206",Intervenciones Comunitarias y Participacion de la Comunidad,Medioambiente,0058_ECO_FERIA.png,,Tercera Ecoferia Comunal 
Sierra Bella 2816,1,"-33.482824526061904, -70.63156976345206",Intervenciones Comunitarias y Participacion de la Comunidad,Medioambiente,0070 INTERVENCIONES COMUNITARIAS.png,,Escuela Ambiental de Verano 
Sierra Bella 2816,1,"-33.482824526061904, -70.63156976345206",Intervenciones Comunitarias y Participacion de la Comunidad,Medioambiente,0070 INTERVENCIONES COMUNITARIAS.png,,Fiesta de la Cosecha 
Carmen con Silva ,1,"-33.477926589706065, -70.63412097396893",Recuperación Sustentable de Espacios Urbanos ,Medioambiente,00141_RECUPERACION_SUSTENTABLE_DE_ESPACIOS_URBANOS.png,,Recuparación Sustentable de Espacios Urbanos
Santa Corina con Manuel Antonio Tocornal (JJVV Población El Carmen),1,"-33.47906592031387, -70.6324847814336",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV Pacifico Rivas 3 y 4, Carlos Valdovinos 561 ",1,"-33.481672046476916, -70.63853034144071",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV Villa Pintor Cicarelli, Interior Villa Pintor ",1,"-33.47717203387171, -70.63854253742183",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV San Francisco de California, Isabel Riquelme 571",1,"-33.47818790100946, -70.63842867611902",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV Población Isabel Riquelme, Enrique Soro 3216 ",1,"-33.48217140105398, -70.62761480009102",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV Villa Musicos del Mundo, Palestrina 2791 ",1,"-33.47769545303604, -70.62565323035368",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV San Pedro, Artemio Gutierrez 2319 ",1,"-33.47456722623984, -70.63317727910845",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV Población Musicos del Mundo, Gluck 2795 ",1,"-33.477979178061034, -70.62674056079325",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV Población Vicente Navarrete, Plaza Casa Blanca ",1,"-33.477057017309654, -70.63568304995805",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,"Operativo de Veterinaria (Gatos), donde se entregan servicios con el fin de promover la tenencia responsable."
"JJVV San Pedro, Artemio Gutierrez 2319 ",1,"-33.47456722623984, -70.63317727910845",Operativos de Veterinaria 2024,Animales,00103 OPERATIVO VETERINARIO.png,,Operativo de Veterinaria (Perros) donde se entregan servicios con el fin de promover la tenencia responsable.
