Nombre,Dirección,Territorio,Descripción (sólo si es necesario),Coordenada,Categoría,Subcategoría,,,,,,,,,,,,,,,,,,
Mejoramiento de Acera en Calle Carlos Fernandez Concha (en ejecución),"Calle Carlos Fernandez Concha, desde Carmen hasta Lira",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Carlos Fernandez Concha, desde Carmen hasta Lira","[
          [
            -70.6316777318712,
            -33.4748916767284
          ],
          [
            -70.63166163861725,
            -33.47496774505177
          ],
          [
            -70.63474617898461,
            -33.47539730609415
          ],
          [
            -70.6347676366563,
            -33.47533466190782
          ],
          [
            -70.63167236745348,
            -33.47489615133782
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento de Acera en Calle Guido Darezzo (en ejecución),"Calle Guido Darezzo, desde Juan Sebastian Bach hasta E. Soro (I. Riquelme)",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Guido Darezzo, desde Juan Sebastian Bach hasta E. Soro (I. Riquelme)","[
          [
            -70.6291736058383,
            -33.48036189236326
          ],
          [
            -70.62923529664569,
            -33.480370841016956
          ],
          [
            -70.628902702728,
            -33.48157666354416
          ],
          [
            -70.6288973383095,
            -33.48162364330381
          ],
          [
            -70.62892952481816,
            -33.481731025513014
          ],
          [
            -70.62886783401082,
            -33.48174221115257
          ],
          [
            -70.62884101192063,
            -33.48163035469577
          ],
          [
            -70.62884637633839,
            -33.48156995214805
          ],
          [
            -70.62917628804756,
            -33.48036412952738
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento de Acera en Av. Isabel Riquelme (en ejecución),"Av. Isabel Riquelme, desde Carmen Vicuña Mackenna hasta Santa Maria",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Av. Isabel Riquelme, desde Carmen hasta Vicuña Mackenna ","[
          [
            -70.6337208992397,
            -33.479189499284466
          ],
          [
            -70.63377033700618,
            -33.47929759448821
          ],
          [
            -70.6331319020608,
            -33.47962727815332
          ],
          [
            -70.63236391948215,
            -33.479821153280064
          ],
          [
            -70.632102359401,
            -33.47992416246232
          ],
          [
            -70.63059417593034,
            -33.480965911897165
          ],
          [
            -70.63014588082412,
            -33.48128612887015
          ],
          [
            -70.62957749011406,
            -33.481628616882645
          ],
          [
            -70.62864956459558,
            -33.4818846152512
          ],
          [
            -70.62823515840424,
            -33.48211479101312
          ],
          [
            -70.62707597528356,
            -33.4832357641664
          ],
          [
            -70.62668567235743,
            -33.48362434179524
          ],
          [
            -70.62638536054227,
            -33.48392037205539
          ],
          [
            -70.62613552569594,
            -33.48409711937474
          ],
          [
            -70.62550403165419,
            -33.48425824008135
          ],
          [
            -70.6241069702454,
            -33.484552676399645
          ],
          [
            -70.62234762529793,
            -33.48501875832827
          ],
          [
            -70.6203593102986,
            -33.48541570906893
          ],
          [
            -70.62042538669532,
            -33.48530439170042
          ],
          [
            -70.62236075046317,
            -33.484932953066554
          ],
          [
            -70.62392309597257,
            -33.48450993617498
          ],
          [
            -70.6251375293796,
            -33.48425983644941
          ],
          [
            -70.62609116511244,
            -33.48401675333752
          ],
          [
            -70.6262494349062,
            -33.483916678827306
          ],
          [
            -70.62677786914067,
            -33.48340963866971
          ],
          [
            -70.62823434694921,
            -33.48198507919071
          ],
          [
            -70.6287044736733,
            -33.48177466839537
          ],
          [
            -70.62959234685829,
            -33.48153512256135
          ],
          [
            -70.6300818582633,
            -33.48123114372321
          ],
          [
            -70.63085882926741,
            -33.480687188759326
          ],
          [
            -70.63143400436887,
            -33.48027911357026
          ],
          [
            -70.63200943537255,
            -33.479881775357946
          ],
          [
            -70.6321432888933,
            -33.47980793039728
          ],
          [
            -70.63228555524181,
            -33.479762153330086
          ],
          [
            -70.63291478994721,
            -33.4795868220963
          ],
          [
            -70.6331192008617,
            -33.47953195345774
          ],
          [
            -70.6332142450097,
            -33.479484101800075
          ],
          [
            -70.6337401907005,
            -33.47922191109046
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento de Acera en Calle Santa María (en ejecución),"Calle Santa María, desde Carmen hasta Lira",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL
Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Santa María, desde Carmen hasta Lira","[
          [
            -70.63190267518827,
            -33.473656989527974
          ],
          [
            -70.63501940206353,
            -33.474766701317826
          ],
          [
            -70.63500330880959,
            -33.47483829513991
          ],
          [
            -70.63187048868035,
            -33.47371516025705
          ],
          [
            -70.63189194635204,
            -33.47365251485456
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Mejoramiento de Acera en Calle Pergolesse (en ejecución),"Calle Pergolesse, desde Verdi hasta Fondo Sur",1,"PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL, Proyecto de Mejoramiento de Aceras VII en ejecución: Calle Pergolesse, desde Verdi hasta Fondo Sur","[
          [
            -70.62432169700308,
            -33.477599333258844
          ],
          [
            -70.62438070560192,
            -33.4776105194319
          ],
          [
            -70.62411195260164,
            -33.47859348048898
          ],
          [
            -70.62404944690867,
            -33.47858603255987
          ],
          [
            -70.62432179314307,
            -33.47759917637267
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Pavimentación Pasaje Lizst (a ejecutarse 2025-2026),"Pasaje Lizst, tramo: Fondo poniente",1,"Pavimentación Participativa a Ejecutarse 2025-2026: Pasaje Lizst, tramo: Fondo poniente","[
          [
            -70.62330633577983,
            -33.48367136314437
          ],
          [
            -70.62329489217109,
            -33.4837151085906
          ],
          [
            -70.62382129820125,
            -33.48381293923428
          ],
          [
            -70.62383274181053,
            -33.48376442161216
          ],
          [
            -70.6233053821459,
            -33.48367056777271
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Pavimentación Pje. Peumos (a ejecutarse 2025-2026),"Pje Peumos, tramo Isabel Riquelme-Pje. Aromos",1,"Pavimentación Participativa a Ejecutarse 2025-2026: Pje Peumos, tramo Isabel Riquelme-Pje. Aromos","[
          [
            -70.63988004474938,
            -33.47807671201456
          ],
          [
            -70.63982402258239,
            -33.47809673826299
          ],
          [
            -70.64004330935033,
            -33.47857603176482
          ],
          [
            -70.6400993315173,
            -33.47855600562717
          ],
          [
            -70.63988004474938,
            -33.478075376930654
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Pavimentación Calle San Francisco de California (a ejecutarse 2025-2026),"Calle San Francisco de California, tramo Pje. San Gabriel a Pje El Volcán",1,"Pavimentación Participativa a Ejecutarse 2025-2026: Calle San Francisco de California, tramo Pje. San Gabriel a Pje El Volcán","[
          [
            -70.63789047097629,
            -33.477309645802386
          ],
          [
            -70.63794744905265,
            -33.477311908929906
          ],
          [
            -70.63789271923764,
            -33.478358536279934
          ],
          [
            -70.63783103303741,
            -33.47837783081683
          ],
          [
            -70.63789014897979,
            -33.47730804944367
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Señalización y Demarcación entre Santa Elena y Av. Vicuña Mackenna (a ejecutarse 2025),Señalización y Demarcación: Entre Santa Elena y Av. Vicuña Mackenna,1,Mitigaciones Asociadas a Construcción Edificios a ejecutarse 2025: Señalización y Demarcación: Entre Santa Elena y Av. Vicuña Mackenna,"[
          [
            -70.62239720814992,
            -33.47812379324461
          ],
          [
            -70.62237575047746,
            -33.47830277075154
          ],
          [
            -70.62521889203317,
            -33.47621765986151
          ],
          [
            -70.62544419759085,
            -33.47604762714743
          ],
          [
            -70.6255836724595,
            -33.475743357245435
          ],
          [
            -70.62674238675365,
            -33.4715640125353
          ],
          [
            -70.62662436955743,
            -33.47153716384504
          ],
          [
            -70.6254189594569,
            -33.47582643096889
          ],
          [
            -70.62530211363033,
            -33.47603021758617
          ],
          [
            -70.62239159030199,
            -33.47815665803978
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
Señalización de eje Santa (a ejecutarse 2025),Señalización de eje Santa Elena entre Rodrigo de Araya y limite de comuna de Santiago,1,Mitigaciones Asociadas a Construcción Edificios a ejecutarse 2025: Señalización de eje Santa Elena entre Rodrigo de Araya y límite de comuna de Santiago,"[
          [
            -70.6232106535748,
            -33.4748888057812
          ],
          [
            -70.62318946534289,
            -33.47497275576898
          ],
          [
            -70.62553076501447,
            -33.47541901486825
          ],
          [
            -70.62556254736344,
            -33.47533064691023
          ],
          [
            -70.62320535651705,
            -33.47488438735818
          ]
        ]",SEGURIDAD,Calle,,,,,,,,,,,,,,,,,,
