Nombre,Dirección,Territorio,Descripción (sólo si es necesario),Coordenada,Categoría,Subcategoría,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Drake (2025),"Calle Drake, desde Sierra Bella hasta Las Industrias",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Drake, desde Sierra Bella hasta Las Industrias","[
          [
            -70.62987765573097,
            -33.48725736401147
          ],
          [
            -70.62986687325167,
            -33.487482180728804
          ],
          [
            -70.63214197648774,
            -33.48748667705788
          ],
          [
            -70.63238997352315,
            -33.4873472907692
          ],
          [
            -70.63241692972247,
            -33.487261860352255
          ],
          [
            -70.62987765573097,
            -33.487261860352255
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Antartica (2025),"Calle Antartica, desde Drake hasta Alcalde Pedro Alarcón",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Antartica, desde Drake hasta Alcalde Pedro Alarcón","[
          [
            -70.63177001606078,
            -33.487545239558884
          ],
          [
            -70.63142132888936,
            -33.48754971351822
          ],
          [
            -70.63145351539748,
            -33.48788973346228
          ],
          [
            -70.6321079743966,
            -33.4891245315055
          ],
          [
            -70.63235473762614,
            -33.48899031517929
          ],
          [
            -70.63177538047891,
            -33.48780025465832
          ],
          [
            -70.63177001606078,
            -33.48754076560056
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle San Gregorio (2025),"Calle San Gregorio, desde Alcalde Pedro Alarcón hasta Salvador allende",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle San Gregorio, desde Alcalde Pedro Alarcón hasta Salvador allende","[
          [
            -70.63614413790529,
            -33.489639408629436
          ],
          [
            -70.6355276858035,
            -33.48982735476081
          ],
          [
            -70.63587090127001,
            -33.49536538616477
          ],
          [
            -70.63627859704026,
            -33.49538328036982
          ],
          [
            -70.63614445976773,
            -33.489643815376525
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Cabildo (2025),"Calle Cabildo, desde Alcalde Pedro Alarcón hasta Embajador Noel",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Cabildo, desde Alcalde Pedro Alarcón hasta Embajador Noel","[
          [
            -70.63959858182385,
            -33.48860185018772
          ],
          [
            -70.63889047864402,
            -33.4887450149028
          ],
          [
            -70.63582203153076,
            -33.49531244175642
          ],
          [
            -70.63637993100616,
            -33.49534823018463
          ],
          [
            -70.63959108129995,
            -33.48860497788998
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Mateo de Toro y Zambrano (2025),"Calle Mateo de Toro y Zambrano, desde Drake hasta Pedro Alarcón",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Mateo de Toro y Zambrano, desde Drake hasta Pedro Alarcón","[
          [
            -70.63228846038545,
            -33.48750719604776
          ],
          [
            -70.63191295112333,
            -33.487569831431806
          ],
          [
            -70.6325995966313,
            -33.48885832070783
          ],
          [
            -70.63280344451641,
            -33.489260969675016
          ],
          [
            -70.63310385192598,
            -33.49011994787993
          ],
          [
            -70.63344717467997,
            -33.49011994787993
          ],
          [
            -70.63299656356527,
            -33.48887621625639
          ],
          [
            -70.63239574874616,
            -33.48777563308937
          ],
          [
            -70.63231528247545,
            -33.48750719604776
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Zenon Torrealba (2025),"Calle Zenon Torrealba, desde Cabildo hasta San Gregorio",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Zenon Torrealba, desde Cabildo hasta San Gregorio","[
          [
            -70.63620429430321,
            -33.48980210176589
          ],
          [
            -70.63621502313951,
            -33.49011526993289
          ],
          [
            -70.6382105866464,
            -33.48999895046116
          ],
          [
            -70.63829641733527,
            -33.48971262493907
          ],
          [
            -70.63621502313951,
            -33.48978420640742
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Matta Vial (2025),"Calle Matta Vial, desde Avda. Santa Rosa hasta San Gregorio",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Matta Vial, desde Avda. Santa Rosa hasta San Gregorio","[
          [
            -70.64006005218017,
            -33.49079228572873
          ],
          [
            -70.64003837939696,
            -33.49099562416682
          ],
          [
            -70.63853212094406,
            -33.49099562416657
          ],
          [
            -70.63813117444984,
            -33.4908239161841
          ],
          [
            -70.63796321037698,
            -33.49076517389686
          ],
          [
            -70.6362185513065,
            -33.49080132300387
          ],
          [
            -70.6362131331105,
            -33.49059798410978
          ],
          [
            -70.63813117444815,
            -33.49052116706994
          ],
          [
            -70.63842917522084,
            -33.49064768921425
          ],
          [
            -70.63875968516942,
            -33.49076969254026
          ],
          [
            -70.64019008887996,
            -33.49076065526272
          ],
          [
            -70.6401250705296,
            -33.49104081042114
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Leal (2025),"Calle Leal, desde Cabildo hasta Mateo de Toro y Zambrano",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Leal, desde Cabildo hasta Mateo de Toro y Zambrano","[
          [
            -70.63349024138591,
            -33.491325736166694
          ],
          [
            -70.63350097022219,
            -33.49159416137071
          ],
          [
            -70.63751355490857,
            -33.49139731630286
          ],
          [
            -70.6375993855967,
            -33.49119152325209
          ],
          [
            -70.63349024138591,
            -33.491325736166694
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Copacabana (2025),"Calle Copacabana, desde Cabildo hasta Mateo de Toro y Zambrano",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Copacabana, desde Cabildo hasta Mateo de Toro y Zambrano","[
          [
            -70.63360049113378,
            -33.49276316895388
          ],
          [
            -70.63363316285349,
            -33.49299930723004
          ],
          [
            -70.63688944425547,
            -33.49286307368861
          ],
          [
            -70.63697656884113,
            -33.49262693504092
          ],
          [
            -70.63356781941407,
            -33.49274500444528
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Embajador Noel (2025),"Calle Embajador Noel, desde Cabildo hasta Mateo de Toro y Zambrano",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Embajador Noel, desde Cabildo hasta Mateo de Toro y Zambrano","[
          [
            -70.63363316285349,
            -33.49356240359705
          ],
          [
            -70.63365494400045,
            -33.49379853969361
          ],
          [
            -70.63650827419171,
            -33.49368047172583
          ],
          [
            -70.63656272705765,
            -33.49341708875665
          ],
          [
            -70.63361138170727,
            -33.493544239256124
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
"Proyecto de veredas Calle Prensa, (2025)","Calle Prensa, desde Mateo de Toro y Zambrano hasta Los Copihues",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Prensa, desde Mateo de Toro y Zambrano hasta Los Copihues","[
          [
            -70.6333746157496,
            -33.49379491164746
          ],
          [
            -70.63336328412329,
            -33.49408785990005
          ],
          [
            -70.63128959654877,
            -33.49416345928859
          ],
          [
            -70.63127826492243,
            -33.49387051129179
          ],
          [
            -70.63334062087137,
            -33.493804361606784
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Comercio (2025),"Calle Comercio, desde Mateo de Toro y Zambrano hasta Los Copihues",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Comercio, desde Mateo de Toro y Zambrano hasta Los Copihues","[
          [
            -70.63334062087137,
            -33.493379112425735
          ],
          [
            -70.63334062087137,
            -33.49361536222847
          ],
          [
            -70.63126693329609,
            -33.49370986196853
          ],
          [
            -70.63125560167052,
            -33.49343581243712
          ],
          [
            -70.63332928924503,
            -33.49335076240546
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Carlos Fau (2025),"Calle Carlos Fau, desde Comandante Riesle hasta Alcalde Pedro Alarcón",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Carlos Fau, desde Comandante Riesle hasta Alcalde Pedro Alarcón","[
          [
            -70.63450143368708,
            -33.48815107318104
          ],
          [
            -70.63419029744125,
            -33.48831213430761
          ],
          [
            -70.63489840062107,
            -33.489716932546344
          ],
          [
            -70.63524172337505,
            -33.489609560236985
          ],
          [
            -70.63451216252265,
            -33.48815107318104
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Magallanes (2025),"Calle Magallanes, desde Comandante Riesle hasta Alcalde Pedro Alarcón",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Magallanes, desde Comandante Riesle hasta Alcalde Pedro Alarcón","[
          [
            -70.63398261838434,
            -33.48843871088238
          ],
          [
            -70.63466926389229,
            -33.48974508260011
          ],
          [
            -70.63432594113833,
            -33.48990614076218
          ],
          [
            -70.63365002446666,
            -33.48858187586714
          ],
          [
            -70.63399334722062,
            -33.48844765868879
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Maestranza (2025),"Calle Maestranza, desde Comandante Riesle hasta Alcalde Pedro Alarcón",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Maestranza, desde Comandante Riesle hasta Alcalde Pedro Alarcón","[
          [
            -70.63347836308967,
            -33.48868030165818
          ],
          [
            -70.63408990674506,
            -33.48995982674963
          ],
          [
            -70.63374658399107,
            -33.490085093924684
          ],
          [
            -70.63316722684453,
            -33.48882346624355
          ],
          [
            -70.63347836308967,
            -33.48868924945073
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Los Copihues (2025),"Calle Los Copihues, hasta Alcalde Pedro Alarcón hasta Salvador Allende",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Los Copihues, hasta Alcalde Pedro Alarcón hasta Salvador Allende","[
          [
            -70.63347836308967,
            -33.48868030165818
          ],
          [
            -70.63408990674506,
            -33.48995982674963
          ],
          [
            -70.63374658399107,
            -33.490085093924684
          ],
          [
            -70.63316722684453,
            -33.48882346624355
          ],
          [
            -70.63347836308967,
            -33.48868924945073
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Aysen (2025),"Calle Aysen, desde Drake hasta Comandante Riesle",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Aysen, desde Drake hasta Comandante Riesle","[
          [
            -70.63125884844109,
            -33.48753863594335
          ],
          [
            -70.63100135637598,
            -33.48753863594335
          ],
          [
            -70.63100135637598,
            -33.48795918678558
          ],
          [
            -70.63167727304766,
            -33.48936399074962
          ],
          [
            -70.63193476511276,
            -33.489238722531475
          ],
          [
            -70.63128030611367,
            -33.48793234317529
          ],
          [
            -70.63125884844109,
            -33.48754758385508
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Springhill (2025),"Calle Springhill, desde Drake hasta Comandante Riesle",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Springhill, desde Drake hasta Comandante Riesle","[
          [
            -70.63080592394309,
            -33.48755218293757
          ],
          [
            -70.63051624536908,
            -33.487543235026365
          ],
          [
            -70.63049478769723,
            -33.48824116931138
          ],
          [
            -70.63122434854962,
            -33.489592282519226
          ],
          [
            -70.63146038294292,
            -33.48948491005533
          ],
          [
            -70.63078446627048,
            -33.48816958656634
          ],
          [
            -70.6307951951068,
            -33.487543235026365
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Schwager (2025),"Calle Schwager, desde Las Industrias hasta Comandante Riesle",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Schwager, desde Las Industrias hasta Comandante Riesle","[
          [
            -70.63120456945053,
            -33.4896032188946
          ],
          [
            -70.63076468717213,
            -33.48926320567806
          ],
          [
            -70.63005658399159,
            -33.48929004887584
          ],
          [
            -70.62971326123832,
            -33.489298996606614
          ],
          [
            -70.62973471891019,
            -33.48954953268607
          ],
          [
            -70.63060375463071,
            -33.48951374186228
          ],
          [
            -70.63102217923728,
            -33.48970164352485
          ],
          [
            -70.63120448602336,
            -33.48960573507753
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Esfuerzo (2025),"Calle Esfuerzo, desde Mateo de Toro y Zambrano hasta Las Industrias",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Esfuerzo, desde Mateo de Toro y Zambrano hasta Las Industrias","[
          [
            -70.62964775064847,
            -33.49070105040484
          ],
          [
            -70.62959410646847,
            -33.4910052677674
          ],
          [
            -70.63319899538459,
            -33.490853159219675
          ],
          [
            -70.63318826654832,
            -33.49060262691175
          ],
          [
            -70.62963702181294,
            -33.490718945573846
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de veredas Calle Progreso (2025),"Calle Progreso, hasta Mateo de Toro y Zambrano hasta Las Industrias",2,"PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL - Proyecto Aceras VII (veredas) en ejecución 2025: Calle Progreso, hasta Mateo de Toro y Zambrano hasta Las Industrias","[
          [
            -70.63175790810412,
            -33.49251739029142
          ],
          [
            -70.63174707171214,
            -33.49278850270036
          ],
          [
            -70.63330751212342,
            -33.4927071690674
          ],
          [
            -70.63330751212342,
            -33.49248124190652
          ],
          [
            -70.63176874449535,
            -33.492490279009196
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa Pje. Mejillones (2025-2026),"Pje. Mejillones, Fondo norte-Schwager",2,"Pav. Participativa a Ejecutarse 2025-2026: Pje. Mejillones, Fondo norte-Schwager","[
          [
            -70.62986299140131,
            -33.48870651071939
          ],
          [
            -70.63010975463017,
            -33.48918969010283
          ],
          [
            -70.62986299140131,
            -33.48923442879795
          ],
          [
            -70.62978788954877,
            -33.48901073508999
          ],
          [
            -70.62986299140131,
            -33.488724406300534
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa calle Comercio (2025-2026),"Comercio, tramo Av. Las Industrias-Padre Mariano",2,"Pav. Participativa a Ejecutarse 2025-2026: Comercio, tramo Av. Las Industrias-Padre Mariano ","[
          [
            -70.63100681288017,
            -33.493458347307374
          ],
          [
            -70.63101217729832,
            -33.493731239537276
          ],
          [
            -70.6293599365454,
            -33.49379834405172
          ],
          [
            -70.62943503839725,
            -33.4935299256806
          ],
          [
            -70.63100681288017,
            -33.49346729460743
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Pav. Participativa Pje. Juan Nieto (2025),"Pje. Juan Nieto, tramo de Oriente a fondo sur",2,Pav. Participativa Ejecución 2025,"[
          [
            -70.63867490311112,
            -33.482862124160555
          ],
          [
            -70.63866685648355,
            -33.48298628305312
          ],
          [
            -70.63846032638972,
            -33.482976216122545
          ],
          [
            -70.638366449074,
            -33.48381736007087
          ],
          [
            -70.638194787697,
            -33.48378156687823
          ],
          [
            -70.63833158035641,
            -33.48284646446601
          ],
          [
            -70.6386749031111,
            -33.48285988706195
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto de vereda Primero de Septiembre (Postulación 2025),"Calle Primero de Septiembre, tramo de La Industrias a Padre Mariano Puga
Mariano Puga",2,"Postulación 2025, proyecto ingeniería. CALLE (veredas) Primero de Septiembre, tramo de La Industrias a Padre Mariano Puga","[
          [
            -70.63103623458719,
            -33.49430224321977
          ],
          [
            -70.63103623458719,
            -33.49455289326887
          ],
          [
            -70.62907951832352,
            -33.49456823916775
          ],
          [
            -70.62915312520481,
            -33.49433805041428
          ],
          [
            -70.63102396677337,
            -33.49431247384848
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES ; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
PROGRAMA CONSTRUYENDO COMUNIDAD - BARRIO LEGUA VIEJA,Área: Alcalde Pedro Alarcón/Av. Santa Rosa/Pdte. Salvador Allende/Mateo de Toro y Zambrano,2,"PROGRAMA CONSTRUYENDO COMUNIDAD - BARRIO LEGUA VIEJA: Se entregó subvención para compra de cámaras de seguridad 
Se celebró el mes de la niñez, talleres de boxeo y cueca, 12 reuniones con la comunidad y coordinación de la
semana Leguina.","[
          [
            -70.64054557171535,
            -33.48818303182398
          ],
          [
            -70.63592658551205,
            -33.48961852178098
          ],
          [
            -70.63599194852395,
            -33.49143556355199
          ],
          [
            -70.63344279104408,
            -33.49152641464024
          ],
          [
            -70.63370424309318,
            -33.49561461493105
          ],
          [
            -70.63597016085306,
            -33.495414751849324
          ],
          [
            -70.63760423616107,
            -33.49185347776728
          ],
          [
            -70.64000087994629,
            -33.49190798816733
          ],
          [
            -70.64013160597081,
            -33.490981306683665
          ],
          [
            -70.63860646901648,
            -33.49094496603105
          ],
          [
            -70.63812714025927,
            -33.49076326249475
          ],
          [
            -70.63893328407744,
            -33.48903706034579
          ],
          [
            -70.64037127034905,
            -33.48898254815263
          ],
          [
            -70.6405019963736,
            -33.48818303182398
          ]
        ]",SOCIAL Y COMUNITARIO,Polígono,,,,,,,,,,,,,,,,,,
Retiro cables sin uso. ,"Calle Álvarez de Toledo, tramo Mateo de Toro y Zambrano a Av. Las Industrias",2,"PROYECTOS IMPACTO NIVEL COMUNAL, EN EJECUCIÓN: Retiro cables sin uso. ","[
          [
            -70.63331058374773,
            -33.49201791874582
          ],
          [
            -70.63332719972789,
            -33.49224028266311
          ],
          [
            -70.62950382519638,
            -33.49240712489881
          ],
          [
            -70.62951493965728,
            -33.49214759239262
          ],
          [
            -70.63330474796295,
            -33.49201342364866
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Calle,,,,,,,,,,,,,,,,,,
Plan de Regeneración la Legua,"Área: Mataveri, Alcalde Pedro alarcón",2,PLANES MAESTROS Y PROYECTOS DE VIVIENDA: Plan de Regeneración la Legua,"[
          [
            -70.63461821934543,
            -33.48627453939141
          ],
          [
            -70.63575642578704,
            -33.48952775599486
          ],
          [
            -70.63940817145537,
            -33.488360962878474
          ],
          [
            -70.63872050506316,
            -33.48983428378094
          ],
          [
            -70.64032110787308,
            -33.489873835675304
          ],
          [
            -70.64068865370265,
            -33.48715460092486
          ],
          [
            -70.63886278086886,
            -33.48752046657136
          ],
          [
            -70.63939631513882,
            -33.48458360954823
          ],
          [
            -70.63825810869643,
            -33.48434628342048
          ],
          [
            -70.63462266342897,
            -33.486242923479054
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Polígono,,,,,,,,,,,,,,,,,,
"Proyecto Altos de San Joaquín
Glosa 10 y DS 49, en postulación.",Área: Matta Vial,2,"PLANES MAESTROS Y PROYECTOS DE VIVIENDA: Proyecto Altos de San Joaquín (Sta. Rosa N°3650,3660,3672,3682) 467 deptos. 12 pisos
Glosa 10 y DS 49, en postulación.","[
          [
            -70.64016655447185,
            -33.489858452549505
          ],
          [
            -70.6399573509496,
            -33.49076958081018
          ],
          [
            -70.63858590563262,
            -33.49075988800732
          ],
          [
            -70.63872537464829,
            -33.49047879623602
          ],
          [
            -70.63915540411182,
            -33.49048848907172
          ],
          [
            -70.63924838345557,
            -33.49014923920678
          ],
          [
            -70.63879510915572,
            -33.49012016058383
          ],
          [
            -70.6389229557532,
            -33.48984875964463
          ],
          [
            -70.64015493205449,
            -33.48993599575369
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Polígono,,,,,,,,,,,,,,,,,,
"Construcción línea 9 metro de Santiago, Ciclovía Santa Rosa
","Calle Av. Santa Rosa, tramo de Av. Carlos Valdovinos hasta Av. Presidente Salvador Allende Gossens",2,"PROYECTOS INMOBILIARIOS EJECUTADOS CON MITIGACIONES EN EL ESPACIO - FINANCIAMIENTO APROBADO: 
- Construcción línea 9 metro de Santiago
- Ciclovía Santa Rosa
","[
          [
            -70.64090326484629,
            -33.48131477915426
          ],
          [
            -70.6426169524617,
            -33.48091131659122
          ],
          [
            -70.64058325715058,
            -33.49578017226593
          ],
          [
            -70.639045147265,
            -33.495744542521614
          ],
          [
            -70.64088233407276,
            -33.481313290479655
          ]
        ]",PLANES MAESTROS Y DESARROLLO URBANO,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras VII (en ejecución 2025): Calle Castelar Sur,"Calle Castelar Sur, desde Av. Central hasta San Juan",3,"Proyecto Aceras VII (en ejecución 2025): Calle Castelar Sur, desde Av. Central hasta San Juan","[
          [
            -70.61890094124595,
            -33.49324997274026
          ],
          [
            -70.62381358102972,
            -33.493065951029756
          ],
          [
            -70.62377873961302,
            -33.493414623414864
          ],
          [
            -70.61880803079877,
            -33.49354053254303
          ],
          [
            -70.6189009412441,
            -33.49325965808298
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
royecto Aceras VII (en ejecución 2025): Pje. Castelar Sur,"Pje. Castelar Sur, desde pje. Río Valdivia hasta Av. Central",3,"Proyecto Aceras VII (en ejecución 2025): Pje. Castelar Sur, desde pje. Río Valdivia hasta Av. Central","[
          [
            -70.62395503614891,
            -33.4930653021029
          ],
          [
            -70.62393641474593,
            -33.49335617688287
          ],
          [
            -70.62591113710948,
            -33.493293614630296
          ],
          [
            -70.62591113698451,
            -33.49302218477102
          ],
          [
            -70.62395829078045,
            -33.49306445669779
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras VII (en ejecución 2025): Pje. Río Valdivia,"Pje. Río Valdivia, desde Castelar Norte hasta Cátela Sur",3,"Proyecto Aceras VII (en ejecución 2025): Pje. Río Valdivia, desde Castelar Norte hasta Cátela Sur","[
          [
            -70.62609529006347,
            -33.49248019357771
          ],
          [
            -70.62579888765173,
            -33.49247569926486
          ],
          [
            -70.6258042767865,
            -33.49309591232756
          ],
          [
            -70.62608990092872,
            -33.49308692376426
          ],
          [
            -70.62608990092876,
            -33.49247569926486
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras VII (en ejecución 2025): Alcalde Pedro Alarcón,"Alcalde Pedro Alarcón, desde 1ero de Mayo, hasta Las Industrias",3,"Proyecto Aceras VII (en ejecución 2025): Alcalde Pedro Alarcón, desde 1ero de Mayo, hasta Las Industrias","[
          [
            -70.62441900695327,
            -33.490012598093784
          ],
          [
            -70.62432248513247,
            -33.49045086095053
          ],
          [
            -70.62923437334159,
            -33.49056713439641
          ],
          [
            -70.62927727192903,
            -33.490137816279315
          ],
          [
            -70.62442973159996,
            -33.49002154225578
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
Proyecto Aceras VII (en ejecución 2025): Calle Salomón Sumar,"alle Salomón Sumar, Desde Magdalena hasta Alc. Pedro Alarcón",3,"Proyecto Aceras VII (en ejecución 2025): Calle Salomón Sumar, Desde Magdalena hasta Alc. Pedro Alarcón","[
          [
            -70.62821145716707,
            -33.48862033796755
          ],
          [
            -70.62782510403913,
            -33.48859796180034
          ],
          [
            -70.62779827396085,
            -33.49020008064008
          ],
          [
            -70.62816852904183,
            -33.49020903094143
          ],
          [
            -70.62821145716707,
            -33.48862481321214
          ]
        ]",PAVIMENTACION DE VEREDAS Y CALLES; SEGURIDAD VIAL Y PEATONAL,Calle,,,,,,,,,,,,,,,,,,
