Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Subcategoría?,Icono (JPG o PNG),Link (si aplica),Foto (Si aplica)**,Descripción
Carlos Valdovinos 561 (JJVV Pacificos 3 y 4),1,"-33.480298310994556, -70.63823586372075",Operativos de Veterinaria 2025,Animales,Ejecutado,00103 OPERATIVO VETERINARIO.png,,,Operativo de Veterinaria (Perros)
Casablanca 2599 (JJVV Poblacion Vicente Navarrete),1,"-33.47842992610345, -70.63516438990906",Operativos de Veterinaria 2025,Animales,Ejecutado,00103 OPERATIVO VETERINARIO.png,,,Operativo de Veterinaria (Gatos)
Isabel Riquelme 571 (JJVV San Francisco de California),1,"-33.47813287802074, -70.63841587246775",Operativos de Veterinaria 2025,Animales,Ejecutado,00103 OPERATIVO VETERINARIO.png,,,Operativo de Veterinaria (Gatos)
Rivas con Peumo (JJVV Pintor Cicarelli),1,"-33.47915996396686, -70.64028627546872",Operativos de Veterinaria 2025,Animales,Ejecutado,00103 OPERATIVO VETERINARIO.png,,,Operativo de Veterinaria (Gatos)
Artemio Gutierrez 2319 (JJVV San Pedro),1,"-33.47456341593989, -70.6331783096913",Operativos de Veterinaria 2025,Animales,Ejecutado,00103 OPERATIVO VETERINARIO.png,,,Operativo de Veterinaria (Gatos)
Carmen 2914 (JJVV Nueva Carmen),1,"-33.48195610387401, -70.63415073431456",Operativos de Veterinaria 2025,Animales,Ejecutado,00103 OPERATIVO VETERINARIO.png,,,Operativo de Veterinaria (Gatos)
Rivas 572 (JJVV Unidos por Rivas),1,"-33.47975952849051, -70.63914767858822",Operativos de Veterinaria 2025,Animales,Ejecutado,00103 OPERATIVO VETERINARIO.png,,,Operativo de Veterinaria (Gatos)
Interior Rivas (Edificio Pacificio 1 y 2),1,"-33.48011235283376, -70.63877232577845",Mejoramiento de Áreas Verdes,Medioambiente,Ejecutado,0072 P. AREAS VERDES EJECUTADOS.png,,,Mejoramiento Área Verde Rivas FNDR-FRIL
Sierra Bella (Parque Sierra Bella),1,"-33.4831573897855, -70.63309245874058",Mejoramiento de Áreas Verdes,Medioambiente,Ejecutado,Pendiente de craeción ,,,Licitación de proyecto de diseño para postulación a ejecución 
Yalta con Carlos Silva Vildosola ,1,"-33.47850005717475, -70.63664281965453",CECOSF,Salud,Ejecutado,0018 CECOSF.png,,,Centro Comunitario de Salud Familiar
Arquitecto Arturo Bianchi con Francisca de Rimini ,1,"-33.486697081245985, -70.62361663702421",CESFAM ,Salud,Ejecutado,0019 CESFAM.png,,,Centro de Salud Familiar
Rivas 696,1,"-33.47906394907691, -70.6411027067832",Salud,Salud,Ejecutado,Pendiente de craeción ,,,Farmacia Popular Sector Norte 
Rivas 696,1,"-33.47906394907691, -70.6411027067832",Salud,Salud,Ejecutado,Pendiente de craeción ,,,Unidad de Atención Primaria Oftalmologica (UAPO)
Av. Isabel Riquelme 262,1,"-33.482863590453555, -70.62743271044735",FALP,Salud,Ejecutado,000109 OPERATIVO FALP.png,,,Operativos FALP
Av. Isabel Riquelme 262,1,"-33.482863590453555, -70.62743271044735",FALP,Salud,Ejecutado,000109 OPERATIVO FALP.png,,,Operativos FALP
Calle Pacifico 2497,1,"-33.479389606479415, -70.63719903330893",PROYECTO NUEVO CECOSF,Salud,Ejecutado,Pendiente de creacion (en ejecución),,,Proyecto de Infraestructura en Ejecución (Obra por terminar)
Sierra Bella 2888,1,"-33.48315578615642, -70.63162814851363",TALLER DE TENIS,Deportes,Ejecutado,Pendiente de creacion (Taller tenis),,,Cancha de Tenis (Taller tenis adulto - niños)
Condominio Pacifico Rivas 558 - 561,1,"-33.48005333800227, -70.63795898311156",TALLERES DEPORTIVOS ,Deportes,Ejecutado,Pendiente de creacion (Talleres Multideportivos),,,"Se realizan talleres de Basquetbol niñez, karate y yoga"
Estadio Municipal (Av. Carlos Valdovinos 279),1,"-33.48433860728327, -70.62893414071661",TALLERES DEPORTIVOS ,Deportes,Ejecutado,Pendiente de creacion (Talleres Multideportivos),,,"Zumba, Entrenamiento funcional niñez, Entrenamiento funcional adulto y escuela de futbol municipal"
Sierra Bella 2888,1,"-33.48315578615642, -70.63162814851363",TALLERES DEPORTIVOS ,Deportes,Ejecutado,Pendiente de creacion (Talleres Multideportivos),,,"Karate, Voleibol, Patinaje niñez, yoga y taekwondo "
"JJVV Musicos del Mundo, Gluck 2795",1,"-33.477977532667815, -70.62673953777298",TALLERES DEPORTIVOS ,Deportes,Ejecutado,06 PILATES.png,,,Pilates
Multicancha  JJVV Musicos del Mundo,1,"-33.48180699190063, -70.62506634682747",TALLERES DEPORTIVOS ,Deportes,Ejecutado,05 FUTBOL.png (pendiente de creacion futbol niñez),,,Futbol niñez
"JJVV El Carmen , Sierra Bella 2673",1,"-33.47969583065941, -70.63122747701144",TALLERES DEPORTIVOS ,Deportes,Ejecutado,06 PILATES.png,,,Pilates
Multicancha Plaza Las Flores,1,"-33.481776921329825, -70.62508150493213",TALLERES DEPORTIVOS ,Deportes,Ejecutado,Pendiente de creacion (Talleres Multideportivos),,,Entrenamiento funcional adulto y zumba
"Piscina Municipal Recreativa, Carlos Valdovinos 287",1,"-33.48370171879337, -70.63087944248839",TALLERES DEPORTIVOS ,Deportes,Ejecutado,0028 TALLER DE PISCINA.png,,,Talleres piscina Verano 
"Piscina Municipal Temperada, Carlos Valdovinos 287",1,"-33.48364585146848, -70.63020641539326",TALLERES DEPORTIVOS ,Deportes,Ejecutado,Pendiente de creacion (Talleres Multideportivos),,,"Aquazumba, hidroyoga, natacion gestantes, matronatación, y ambientacion al medio acuático, seguridad en el agua, natacion inicial, natación adolecente, hidrogimnasia, natacion inicial adultos."
"Villa Manuel de Salas , Carmen 2341",1,"-33.47623503624933, -70.63617281531414",TALLERES DEPORTIVOS ,Deportes,Ejecutado,Pendiente de creacion (Talleres Multideportivos),,,"Basquetbol niñez, Entrenamiento funcional, Zumba"
