Dirección,Territorio (1 al 7),Coordenadas (click derecho en maps),Nombre,Categoría,Subcategoría?,Icono (JPG o PNG),Link (si aplica),Foto (Si aplica)**,Descripción
"Piscina Municipal Temperada, Carlos Valdovinos 287",1,"-33.48364585146848, -70.63020641539326",Actividades oficina de la discapacidad e inclusion,Social y Comunitario,Ejecutado,,,,"Taller Activate en el medio acuatico, actividad recreativa , junto a colegio Jorge Otte, conformacion organizacion vida acuatica, primer polideportivo inclusivo"
JJVV Las Flores ,1,"-33.48219968770502, -70.62473951459252",Operativos Sociales ,Social y Comunitario,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,"Operativos sociales, con multiples servicios, como Registro social de hogares, Prestaciones monetarias Desarrollo Social, Oficina de Discapacidad e inclusión, Chile crece contigo, entre otros apoyos."
JJVV San Francisco de California ,1,"-33.47814698722821, -70.63842283092244",Operativos Sociales ,Social y Comunitario,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,"Operativos sociales, con multiples servicios, como Registro social de hogares, Prestaciones monetarias Desarrollo Social, Oficina de Discapacidad e inclusión, Chile crece contigo, entre otros apoyos."
JJVV San Pedro,1,"-33.47490176381543, -70.63276762806007",Operativos Sociales ,Social y Comunitario,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,"Operativos sociales, con multiples servicios, como Registro social de hogares, Prestaciones monetarias Desarrollo Social, Oficina de Discapacidad e inclusión, Chile crece contigo, entre otros apoyos."
JJVV El Carmen,1,"-33.47970059092784, -70.63122718856704",Operativos Sociales ,Social y Comunitario,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,"Operativos sociales, con multiples servicios, como Registro social de hogares, Prestaciones monetarias Desarrollo Social, Oficina de Discapacidad e inclusión, Chile crece contigo, entre otros apoyos."
JJVV Nueva Carmen,1,"-33.48192636120042, -70.63415392401647",Operativos Sociales ,Social y Comunitario,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,"Operativos sociales, con multiples servicios, como Registro social de hogares, Prestaciones monetarias Desarrollo Social, Oficina de Discapacidad e inclusión, Chile crece contigo, entre otros apoyos."
"Sierra Bella 2888, Centro Civico",1,"-33.48313849634792, -70.63163609318467",Capacitación OTEC 2024,Emprendimiento y Trabajo ,Ejecutado,0046 CAPACITACION OTEC.png,,,"8 Capacitaciones en que participaron un total de 174 personas en las areas de: jardineria 1 y 2, costura, instalador electrico, ingles intermedio, costura en molde, costura en reciclaje"
Plaza Valdivieso,1,"-33.474338775002416, -70.62632034047559",Feria de Emprendedores ,Emprendimiento y Trabajo ,Ejecutado,0049 ACTIVIDADES ITINERANTES.png,,,Fiesta Chilenera 
Santa Rosa 2606,1,"-33.479048260950236, -70.64149674040375",Feria de Emprendedores ,Emprendimiento y Trabajo ,Ejecutado,07 FERIA EMPRENDEDORES.png,,,Mercado en tu Municpio 
Bach con Av. Vicuña Mackenna ,1,"-33.47877249316054, -70.62215981139836",Feria de Emprendedores ,Emprendimiento y Trabajo ,Ejecutado,07 FERIA EMPRENDEDORES.png,,,Feria Bach 
Av. Santa Rosa con Pintor Cicarelli,1,"-33.476623954663296, -70.64174284973026",Feria de Emprendedores ,Emprendimiento y Trabajo ,Ejecutado,07 FERIA EMPRENDEDORES.png,,,Plaza Joan Jara
Plaza Valdivieso,1,"-33.474338775002416, -70.62632034047559",Feria de Emprendedores ,Emprendimiento y Trabajo ,Ejecutado,07 FERIA EMPRENDEDORES.png,,,Feria Expofest
Sierra Bella (Plaza Isabel Riquelme),1,"-33.48253738677336, -70.6318368345598",Feria de Emprendedores ,Emprendimiento y Trabajo ,Ejecutado,00102 FERIA VIKINGA.png,,,Feria Vikinga
Lider (Av. Vicuña Mackenna 3361),1,"-33.48424081214991, -70.62225845056584",Feria de Emprendedores ,Emprendimiento y Trabajo ,Ejecutado,07 FERIA EMPRENDEDORES.png,,,Feria Comercialización 
"Sala de capacitacion, Centro Civico",1,"-33.48342858844737, -70.63159661733845",Academia de emprendimiento y jornadas capacitacion 2024,Emprendimiento y Trabajo ,Ejecutado,,,,"Academia de Verano: MKT para emprendedores, creacion de modelos de negocios "
"Sala de capacitacion, Centro Civico",1,"-33.48342858844737, -70.63159661733845",Academia de emprendimiento y jornadas capacitacion 2024,Emprendimiento y Trabajo ,Ejecutado,,,,Academia de emprendimiento Julio/Agosto Desarrollo Personal 
Universidad de Talca (Santa Elena 2222),1,"-33.47264844077303, -70.62621416314536",Academia de emprendimiento y jornadas capacitacion 2024,Emprendimiento y Trabajo ,Ejecutado,,,,Academia de emprendimiento marzo: Computación Básica y contabilidad
Enrique Soro 3216 (JJVV Población Isabel Riquelme),1,"-33.48217140105398, -70.62761480009102",Academia de emprendimiento y jornadas capacitacion 2024,Emprendimiento y Trabajo ,Ejecutado,,,,Informate y Formalizate
"Sierra Bella 2888, Centro Civico (centro de capacitación y cowork San Joaquín)",1,"-33.48343350554963, -70.63156566048212",Academia de emprendimiento y jornadas capacitacion 2024,Emprendimiento y Trabajo ,Ejecutado,,,,Programa Mentorias para emprendimientos (UTFSM)
"Sierra Bella 2888, Centro Civico (centro de capacitación y cowork San Joaquín)",1,"-33.48343350554963, -70.63156566048212",Academia de emprendimiento y jornadas capacitacion 2024,Emprendimiento y Trabajo ,Ejecutado,,,,Academia de emprendimiento noviembre 2024; Desarrollo Personal; Redes Sociales Empresariales; Fotografía y videos de productos ; Marketing Digital
"Sierra Bella 2888, Centro Civico (centro de capacitación y cowork San Joaquín)",1,"-33.48343350554963, -70.63156566048212",Academia de emprendimiento y jornadas capacitacion 2024,Emprendimiento y Trabajo ,Ejecutado,,,,Programa mentorias UDLA
JJVV Pintor Cicarelli (Santa Rosa 2550),1,"-33.47915996396686, -70.64028627546872",Feria OMIL,Emprendimiento y Trabajo ,Ejecutado,0035 FERIA OMIL.png,,,realizacion de ferias OMIL 2024
JJVV Poblacion El Carmen (Sierra Bella 2673),1,"-33.479694947289744, -70.63122646197937",Feria OMIL,Emprendimiento y Trabajo ,Ejecutado,0035 FERIA OMIL.png,,,realizacion de ferias OMIL 2024
"Sierra Bella 2888, Centro Civico",1,"-33.48343350554963, -70.63156566048212",Capacitaciones,Emprendimiento y Trabajo ,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Capacitaciones apresto laboral (71 usuarios + 6 usuarios del PMHJ)
Av. Santa Rosa con Pintor Cicarelli (plaza bolsillo Joan Jara),1,"-33.476623954663296, -70.64174284973026",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,,,,Participación en inauguración Plaza Bolsillo Joan Jara
Gimnasio Municipal,1,"-33.48308252921477, -70.63171657693465",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,,,,Encuentro dirigentes sociales 
Gimnasio Municipal,1,"-33.48308252921477, -70.63171657693465",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,,,,Encuentro mujeres emprendedoras 
Gimnasio Municipal,1,"-33.48308252921477, -70.63171657693465",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,,,,Celebracion día de las madres
Gimnasio Municipal,1,"-33.48308252921477, -70.63171657693465",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Expo talleres primer y segundo semestre 
Universidad de Talca (Santa Elena 2222),1,"-33.47264844077303, -70.62621416314536",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,,,,Conversatorio mujeres
"JJVV Musicos del Mundo, Gluck 2795",1,"-33.477977532667815, -70.62673953777298",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Trayectoria de Mamás
"JJVV Musicos del Mundo, Gluck 2795",1,"-33.477977532667815, -70.62673953777298",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Certificación organización taller crochet 2
"Espacio Chequeslovaquia, Liszt 3319",1,"-33.483189276262124, -70.62353253689938",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Certificación organización taller cosmetica nivel 2
"Espacio Chequeslovaquia, Liszt 3319",1,"-33.483189276262124, -70.62353253689938",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Certificación taller de teatro
Condominio Pacifico 3 y 4 (Carlos Valdovinos 561),1,"-33.48110170193817, -70.63797565058263",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Certificación organización taller crochet 3
"JJVV Vicente Navarrete , Casablanca 2599",1,"-33.47842992610345, -70.63516438990906",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Certificación taller de manuealidades 
JJVV San Pedro,1,"-33.47490176381543, -70.63276762806007",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Certificación organización taller mosaico 
Casa Participante,1,"-33.48157758832086, -70.62758350010797",ACTIVIDADES MUJERES TERRITORIO 1,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Certificación organización taller de pintura en yeso
"Sierra Bella 2888, Centro Civico",1,"-33.48343350554963, -70.63156566048212",PROGRAMA MUJERES JEFAS DE HOGAR,Mujer y Equidad de Genero,Ejecutado,,,,Entrevistas de postulación a PMJH
"Sierra Bella 2888, Centro Civico",1,"-33.48343350554963, -70.63156566048212",PROGRAMA MUJERES JEFAS DE HOGAR,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,Talleres de formación para el trabajo 
"Sierra Bella 2888, Centro Civico",1,"-33.48343350554963, -70.63156566048212",PROGRAMA MUJERES JEFAS DE HOGAR,Mujer y Equidad de Genero,Ejecutado,,,,"Apoyo postulación FOSIS, SERCOTEC, y fondos INNOVA"
"Sierra Bella 2888, Centro Civico",1,"-33.48343350554963, -70.63156566048212",PROGRAMA MUJERES JEFAS DE HOGAR,Mujer y Equidad de Genero,Ejecutado,,,,Participación financiera de mujeres en el mercado y educación financiera 
"Sierra Bella 2888, Centro Civico",1,"-33.48343350554963, -70.63156566048212",PROGRAMA MUJERES JEFAS DE HOGAR,Mujer y Equidad de Genero,Ejecutado,0045 APRESTO LABORAL.png,,,Apresto laboral
"Sierra Bella 2888, Centro Civico",1,"-33.48343350554963, -70.63156566048212",PROGRAMA MUJERES JEFAS DE HOGAR,Mujer y Equidad de Genero,Ejecutado,,,,Operativo de belleza y terapias holisticas
"Sierra Bella 2888, Centro Civico",1,"-33.48343350554963, -70.63156566048212",PROGRAMA MUJERES JEFAS DE HOGAR,Mujer y Equidad de Genero,Ejecutado,0091 TALLERES PARA LAS MUJERES.png,,,"Ciclo de talleres""Mujeres con voz y liderazgo"""
"Piscina Municipal Temperada, Carlos Valdovinos 287",1,"-33.48364585146848, -70.63020641539326",PROGRAMA MUJERES JEFAS DE HOGAR,Mujer y Equidad de Genero,Ejecutado,,,,Hito inicial PMJH 2023
JJVV Las Flores ,1,"-33.48219968770502, -70.62473951459252",OPERATIVO SOCIAL,Social y Comunitario ,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,Operativo Social
JJVV San Francisco de California ,1,"-33.47814698722821, -70.63842283092244",OPERATIVO SOCIAL,Social y Comunitario ,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,Operativo Social
JJVV San Pedro,1,"-33.47490176381543, -70.63276762806007",OPERATIVO SOCIAL,Social y Comunitario ,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,Operativo Social
JJVV El Carmen,1,"-33.47970059092784, -70.63122718856704",OPERATIVO SOCIAL,Social y Comunitario ,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,Operativo Social
JJVV Nueva Carmen,1,"-33.48192636120042, -70.63415392401647",OPERATIVO SOCIAL,Social y Comunitario ,Ejecutado,00107 OPERATIVOS SOCIALES.png,,,Operativo Social
"JJVV Musicos del Mundo, Gluck 2795",1,"-33.477977532667815, -70.62673953777298",CONSEJO EN TU BARRIO  ,Social y Comunitario ,Ejecutado,00108 CONSEJO EN TU BARRIO.png,,,Consejo en tu barrio
"JJVV Vicente Navarrete , Casablanca 2599",1,"-33.47842992610345, -70.63516438990906",AUDIENCIA EN TU BARRIO ,Social y Comunitario ,Ejecutado,00105 AUDIENCIA EN TERRENO.png,,,Audiencia en tu barrio
Gimnasio Municipal,1,"-33.48308252921477, -70.63171657693465",OPERATIVO PERSONAS MAYORES,Social y Comunitario ,Ejecutado,Pendiente de creacion,,,Operativo personas mayores
Av. Isabel Riquelme 262,1,"-33.482863590453555, -70.62743271044735",OPERATIVO FALP,Social y Comunitario ,Ejecutado,00109 OPERATIVO FALP.png,,,Operativo FALP
Todo el territorio ,1,Todo el territorio ,PUERTA A PUERTA ,Social y Comunitario ,Ejecutado,00106 PUERTA A PUERTA.png,,,Puerta a puerta
"Sierra Bella 2888, Centro Civico ",1,"-33.48343350554963, -70.63156566048212",BUS DE LA JUSTICIA,Social y Comunitario ,Ejecutado,Pendiente de creación ,,,Bus de la justicia
Carlos Valdovinos 287 (Frente a piscina municipal),1,"-33.48366036901886, -70.63020289177518",OPERATIVO CON D.O.S,Social y Comunitario ,Ejecutado,Pendiente de creación ,,,Operativos con D.O.S
plaza las flores (Mozart con Haydn),1,"-33.481355152459756, -70.62491560728513",VERANO EN TU BARRIO 2024,Social y Comunitario ,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 2024
"Plaza Casa Blanca (Carlos Silva Vildosola con Casa Blanca, interior plaza)",1,"-33.47705353741287, -70.63569156147703",VERANO EN TU BARRIO 2024,Social y Comunitario ,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 2024
Población El Carmen (Pintor Cicarelli con Lira),1,"-33.47637758653776, -70.63125282854409",VERANO EN TU BARRIO 2024,Social y Comunitario ,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 2024
Población Chile (Palestrina con Verdi),1,"-33.477770959885795, -70.62545280497542",VERANO EN TU BARRIO 2024,Social y Comunitario ,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 2024
Rivas (Rivas entre Pacifico y Santa Rosa),1,"-33.480245917603305, -70.63726760098508",VERANO EN TU BARRIO 2024,Social y Comunitario ,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 2024
san francisco de california (Cancha Isabel Riquelme),1,"-33.477713511166854, -70.63850889449772",VERANO EN TU BARRIO 2024,Social y Comunitario ,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 2024
"Plaza Casa Blanca (Carlos Silva Vildosola con Casa Blanca, interior plaza)",1,"-33.47705353741287, -70.63569156147703",VERANO EN TU BARRIO 2025,Social y Comunitario ,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 2025
"Plaza Valdivieso, Ignacio Valdivieso #2406",1,"-33.474798386204895, -70.62621543709955",VERANO EN TU BARRIO 2025,Social y Comunitario ,Ejecutado,00110 VERANO EN TU BARRIO.png,,,Verano en tu Barrio 2025
Celia Solar 95 (Edificio Celia Solar]),1,"-33.47198522003563, -70.62513823310898",MITIGACIONES PROYECTOS INMOBILIARIOS ,Desarrollo Urbano,En Ejecucion,0015 PROYECTO INMOBILIARIO.png,,,"Pasos peatonales, aceras, estacionamientos, y areas verdes celia solar. diseño ciclovia Santa Elena, entre rodrigo de araya y Vicuña Mackenna."
Rivas 565 (Edificio rivas),1,"-33.47972761865913, -70.63814398978221",MITIGACIONES PROYECTOS INMOBILIARIOS ,Desarrollo Urbano,En Ejecucion,0015 PROYECTO INMOBILIARIO.png,,,"Veredas, platabanda y iluminación "
Carlos Valdovinos 201 (Edifios Carlos Valdovinos),1,"-33.484939153186524, -70.62716510566027",MITIGACIONES PROYECTOS INMOBILIARIOS ,Desarrollo Urbano,En Ejecucion,0015 PROYECTO INMOBILIARIO.png,,,"Iluminacion peatonal, veredas, vallas peatonales, pasos peatonales"
Plan de Mantenimiento de puntos de parada de buses,,,,,,,,,
Pintor Cicarelli con Santa Rosa,1,"-33.47711781784615, -70.64164210111375",PROYECTO IMPACTO NIVEL COMUNAL,Desarrollo Urbano,En Ejecucion,00113 PLANES MAESTROS Y DESARROLLO URBANO.png,,,Plan de mantenimiento de puntos de paradas de buses (en ejecucion 2024)
Santa Rosa con Isabel Riquelme,1,"-33.47790508381864, -70.64168182670076",PROYECTO IMPACTO NIVEL COMUNAL,Desarrollo Urbano,En Ejecucion,00113 PLANES MAESTROS Y DESARROLLO URBANO.png,,,Plan de mantenimiento de puntos de paradas de buses (en ejecucion 2024)
Santa Rosa cercano a Esquilo,1,"-33.48020224362843, -70.64166888496058",PROYECTO IMPACTO NIVEL COMUNAL,Desarrollo Urbano,En Ejecucion,00113 PLANES MAESTROS Y DESARROLLO URBANO.png,,,Plan de mantenimiento de puntos de paradas de buses (en ejecucion 2024)
Santa Rosa cercano a Carlos Valdovinos ,1,"-33.48059882212463, -70.64181210130525",PROYECTO IMPACTO NIVEL COMUNAL,Desarrollo Urbano,En Ejecucion,00113 PLANES MAESTROS Y DESARROLLO URBANO.png,,,Plan de mantenimiento de puntos de paradas de buses (en ejecucion 2024)
Construccion Linea 9 de Metro,1,"-33.47680295009717, -70.64230301671029",PROYECTO IMPACTO NIVEL COMUNAL,Desarrollo Urbano,Financiamiento aprobado,0027 PROYECTO POR EJECUTARSE.png,,,Construcción de Metro Linea 9
Plan Maestro entorno a estaciones Línea 5 Metro ,1,Multiforma (comprende Santa Rosa desde Av. Carlos valdovinos hasta la altura de Santa Maria ,PROYECTO IMPACTO NIVEL COMUNAL,Desarrollo Urbano,En postulación,0027 PROYECTO POR EJECUTARSE.png,,,Plan Maestro entorno estaciones linea 5 de metro
Rivas 531 (DS 49),1,"-33.48009237337779, -70.63522174909697",PROYECTOS VIVIENDA ,Desarrollo Urbano,En proceso de Permiso de Edificación ,0015 PROYECTO INMOBILIARIO.png,,,Se contruiran 277 viviendas
Schubert 170 (Vivienda Social Arriendo a Precio justo),1,"-33.48259388014672, -70.62326118808265",PROYECTOS VIVIENDA ,Desarrollo Urbano,En proceso de Permiso de Edificación ,0015 PROYECTO INMOBILIARIO.png,,,231 Vivienda social a precio justo 
"Lira 1, Pintor Cicarelli 291 (DS49)",1,"-33.47597244793278, -70.62996232234833",PROYECTOS VIVIENDA ,Desarrollo Urbano,En proceso de Permiso de Edificación ,0015 PROYECTO INMOBILIARIO.png,,,263 Viviendas (DS49)
"Lira 2, Pintor Cicarelli 287 (DS49)",1,"-33.47581116402495, -70.62978369014965",PROYECTOS VIVIENDA ,Desarrollo Urbano,En proceso de Permiso de Edificación ,0015 PROYECTO INMOBILIARIO.png,,,263 Viviendas (DS49)
